timestamp,eye_ar,head_direction,observation_complete
1770830926.675867,0.25,FORWARD,0
1770830926.707906,0.188,FORWARD,0
1770830926.754171,0.197,FORWARD,0
1770830926.7958102,0.188,FORWARD,0
1770830926.839344,0.192,FORWARD,0
1770830926.8839238,0.23,FORWARD,0
1770830926.9319224,0.227,FORWARD,0
1770830926.9774218,0.178,FORWARD,0
1770830927.0230215,0.19,FORWARD,0
1770830927.062856,0.0,FORWARD,0
1770830927.1124864,0.189,FORWARD,0
1770830927.1496136,0.0,FORWARD,0
1770830927.1951103,0.0,FORWARD,0
1770830927.2444527,0.191,FORWARD,0
1770830927.2902913,0.222,FORWARD,0
1770830927.335476,0.245,FORWARD,0
1770830927.378526,0.215,FORWARD,0
1770830927.4226658,0.0,FORWARD,0
1770830927.46716,0.239,FORWARD,0
1770830927.515075,0.255,FORWARD,0
1770830927.5600033,0.216,FORWARD,0
1770830927.6012232,0.181,FORWARD,0
1770830927.6496892,0.132,FORWARD,0
1770830927.692789,0.162,FORWARD,0
1770830927.735547,0.175,FORWARD,0
1770830927.7771144,0.199,FORWARD,0
1770830927.827606,0.15,FORWARD,0
1770830927.8699641,0.237,FORWARD,0
1770830927.917051,0.258,FORWARD,0
1770830927.9626672,0.15,FORWARD,0
1770830928.0036416,0.289,FORWARD,0
1770830928.0513747,0.147,FORWARD,0
1770830928.0951245,0.156,FORWARD,0
1770830928.13777,0.173,FORWARD,0
1770830928.184439,0.135,FORWARD,0
1770830928.2334306,0.154,FORWARD,0
1770830928.2719743,0.228,FORWARD,0
1770830928.3172162,0.208,FORWARD,0
1770830928.3614233,0.176,FORWARD,0
1770830928.4096282,0.171,FORWARD,0
1770830928.4540231,0.176,FORWARD,0
1770830928.4978614,0.164,FORWARD,0
1770830928.5421228,0.21,FORWARD,0
1770830928.5837045,0.17,FORWARD,0
1770830928.6302524,0.222,FORWARD,0
1770830928.6756735,0.176,FORWARD,0
1770830928.720122,0.176,FORWARD,0
1770830928.7622519,0.179,FORWARD,0
1770830928.8082154,0.176,FORWARD,0
1770830928.8515086,0.194,FORWARD,0
1770830928.89325,0.172,FORWARD,0
1770830928.938117,0.176,FORWARD,0
1770830928.9859908,0.191,FORWARD,0
1770830929.0304914,0.191,FORWARD,0
1770830929.0774987,0.228,FORWARD,0
1770830929.120053,0.252,FORWARD,0
1770830929.1685352,0.214,FORWARD,0
1770830929.215441,0.322,FORWARD,0
1770830929.2589624,0.288,LEFT,0
1770830929.3040204,0.235,FORWARD,0
1770830929.3496776,0.245,FORWARD,0
1770830929.3943274,0.192,FORWARD,0
1770830929.4379697,0.225,LEFT,0
1770830929.4832706,0.235,LEFT,0
1770830929.530868,0.17,LEFT,0
1770830929.5742574,0.199,LEFT,0
1770830929.6187198,0.181,LEFT,0
1770830929.6647773,0.133,FORWARD,0
1770830929.7060096,0.14,LEFT,0
1770830929.7517757,0.216,LEFT,0
1770830929.797627,0.293,LEFT,0
1770830929.8462174,0.274,LEFT,0
1770830929.8922446,0.274,LEFT,0
1770830929.9335554,0.194,LEFT,0
1770830929.9805658,0.16,LEFT,0
1770830930.025813,0.121,FORWARD,0
1770830930.0705335,0.1,LEFT,0
1770830930.1149604,0.184,LEFT,0
1770830930.1611762,0.226,FORWARD,0
1770830930.2057889,0.324,FORWARD,0
1770830930.2537723,0.326,FORWARD,0
1770830930.2969542,0.258,FORWARD,0
1770830930.3439353,0.324,FORWARD,0
1770830930.3931015,0.31,FORWARD,0
1770830930.435533,0.295,FORWARD,0
1770830930.4796586,0.346,RIGHT,1
1770830930.5264778,0.326,RIGHT,1
1770830930.5735765,0.288,FORWARD,1
1770830930.6157684,0.316,FORWARD,1
1770830930.6622615,0.281,FORWARD,1
1770830930.7024424,0.28,FORWARD,1
1770830930.7504044,0.327,FORWARD,1
1770830930.7963605,0.3,FORWARD,1
1770830930.837822,0.253,FORWARD,1
